"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","157","26","17","3.82","485.1","206","232","184","477",".240",3.05094339622642
"ATL","158","25","17","4.57","512.1","260","280","221","485",".243",3.24113924050633
"BAL","158","30","18","3.86","585.1","251","275","217","499",".253",3.67987421383648
"BOS","153","29","14","3.04","512.0","173","185","169","556",".224",3.24050632911392
"CHC","156","26","22","3.88","538.2","232","248","256","594",".224",3.40632911392405
"CHW","158","28","20","4.40","533.2","261","275","233","498",".245",3.3746835443038
"CIN","156","24","20","4.62","596.2","306","323","271","577",".248",3.77341772151899
"CLE","151","21","21","2.90","478.0","154","172","146","531",".227",3.0253164556962
"COL","158","24","18","4.39","539.2","263","279","204","540",".252",3.39119496855346
"DET","156","17","28","5.70","514.2","326","345","235","454",".285",3.25443037974684
"HOU","157","30","22","4.36","532.0","258","271","206","644",".236",3.36708860759494
"KCR","157","28","24","4.26","553.2","262","288","237","490",".254",3.50126582278481
"LAA","157","35","22","3.82","554.0","235","247","163","585",".238",3.50632911392405
"LAD","157","30","19","3.41","541.2","205","213","175","616",".221",3.40377358490566
"MIA","157","29","29","4.42","596.2","293","314","267","548",".260",3.77341772151899
"MIL","157","26","35","3.83","559.0","238","259","263","599",".240",3.5379746835443
"MIN","152","23","19","4.45","550.2","272","292","185","464",".262",3.48227848101266
"NYM","157","20","27","4.74","552.0","291","309","260","573",".262",3.47169811320755
"NYY","156","29","23","3.34","525.0","195","209","218","637",".206",3.32278481012658
"OAK","157","23","26","4.58","539.0","274","297","199","512",".248",3.41139240506329
"PHI","158","23","33","4.22","537.1","252","269","216","535",".254",3.37798742138365
"PIT","156","25","27","3.82","528.1","224","244","204","479",".247",3.34240506329114
"SDP","157","25","28","4.51","542.2","272","294","199","577",".238",3.41006289308176
"SFG","156","21","24","4.38","483.0","235","253","218","446",".259",3.0377358490566
"SEA","158","30","29","3.98","559.0","247","276","205","534",".243",3.51572327044025
"STL","155","21","28","3.88","512.2","221","239","178","511",".249",3.24177215189873
"TBR","158","26","31","3.85","528.2","226","245","197","489",".237",3.34303797468354
"TEX","156","22","25","4.81","501.0","268","299","223","452",".269",3.17088607594937
"TOR","157","28","26","4.26","585.2","277","299","207","619",".241",3.68050314465409
"WSN","155","24","17","4.31","459.0","220","232","156","430",".254",2.90506329113924
